SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,Unknown,Expert opinion,Unknown,-,"Central Wheatbelt: not easily recognised in the field, potential range extension north of Dalwallinu (2006), therefore ESUs unknown. ",6,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Central Wheatbelt: count as per TPFL; trend increasing due to survey (Pop 6 found in 2009); not included is potential range extension north of Dalwallinu (2006), not currently in TPFL. ","1,350","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Unknown,-,"Central Wheatbelt: accept TPFL count, trend unknown as most pops haven't been counted since 2000/01. ","1,094","< 1,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,"S&C calc: area. Central Wheatbelt: Polygon is correct for existing populations; but there was a potential range extension north of Dalwallinu (2006), not currently in TPFL; trend unknown. ",Unknown,Unknown,Estimate based on expert opinion ,Unknown,"Central Wheatbelt: AOO unknown, trend unknown.",,Restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt: greenstone domes,2009,,,Central Wheatbelt: past pressures and future threats,Vulnerable,Vulnerable,,C2a; D2,Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,None,,,Currently threatened taxa but metric and/or trends indicate a higher conservation status  ,Au v) Reproductive biology & breeding system,"determine seed viability, cues for germination and recruitment",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),Wheatbelt DRF prioritisation process,MD i) Fire management for biodiversity (specify),develop fire management guidline,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private land holders, community groups, LGA",,,Central Wheatbelt Dist: management requirements,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),accidental destruction due to farm operations,Cropping/Horticulture (specify),accidental destruction due to farm operations,,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitat,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,CP i) Threatened taxa recovery plan (specify),requires IRP,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,EPBC conservation advice 2014,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,"small population size, lack of recruitment",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,possibly higher conservation status? ,,,CP ix) Other management plan (specify),update DRF and poorly known flora of Wongan-Ballidu,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,"Central Wheatbelt Dist: not easily recognised in the field; DJ to investigate potential range extension north of Dalwallinu (2006), not currently in TPFL. ",,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,QTP iii) Quantifying threatening processes – species,determine fire response,,,CP ix) Other management plan (specify),complete Wongan Hills Ecoscape conservation plan & investment plan,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,Unknown,Expert opinion,Unknown,-,"Central Wheatbelt: not easily recognised in the field, potential range extension north of Dalwallinu (2006), therefore ESUs unknown. ",6,0,Less than or equal to 10 (potentially meets location/subpopulation criteria VU),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Central Wheatbelt: count as per TPFL; trend increasing due to survey (Pop 6 found in 2009); not included is potential range extension north of Dalwallinu (2006), not currently in TPFL. ","1,350","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Unknown,-,"Central Wheatbelt: accept TPFL count, trend unknown as most pops haven't been counted since 2000/01. ","1,094","< 1,000ha (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Unknown,"S&C calc: area. Central Wheatbelt: Polygon is correct for existing populations; but there was a potential range extension north of Dalwallinu (2006), not currently in TPFL; trend unknown. ",Unknown,Unknown,Estimate based on expert opinion ,Unknown,"Central Wheatbelt: AOO unknown, trend unknown.",,Restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt: greenstone domes,2009,,,Central Wheatbelt: past pressures and future threats,Vulnerable,Vulnerable,,C2a; D2,Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,None,,,,Au v) Reproductive biology & breeding system,"determine seed viability, cues for germination and recruitment",EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),Wheatbelt DRF prioritisation process,MD i) Fire management for biodiversity (specify),develop fire management guidline,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private land holders, community groups, LGA",,,Central Wheatbelt Dist: management requirements,,,,
AVW02,South Coast,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),accidental destruction due to farm operations,Cropping/Horticulture (specify),accidental destruction due to farm operations,,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitat,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,CP i) Threatened taxa recovery plan (specify),requires IRP,,,MI v) Ex-situ conservation (specify),seed collection and storage,,,EPBC conservation advice 2014,,,,
AVW02,South Coast,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,"small population size, lack of recruitment",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,possibly higher conservation status? ,,,CP ix) Other management plan (specify),update DRF and poorly known flora of Wongan-Ballidu,,,MI iv) Habitat management through whole of landscape management approach (specify),use of fire project results to inform Wongan Hills area fire management planning across tenure (FESA & LGA),,,"Central Wheatbelt Dist: not easily recognised in the field; DJ to investigate potential range extension north of Dalwallinu (2006), not currently in TPFL. ",,,,
AVW02,South Coast,Sch1: Extant taxa (Rare flora),Rhagodia acicularis,Wongan Rhagodia,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,QTP iii) Quantifying threatening processes – species,determine fire response,,,CP ix) Other management plan (specify),complete Wongan Hills Ecoscape conservation plan & investment plan,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,1,Quantitative unpublished data and expert opinion,Static,Expert opinion,Central Wheatbelt Dist,11,0,Less than or equal to 20 (does not meet IUCN location/subpopulation criteria),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Central Wheatbelt Dist: TPFL pops ok, trend",500,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Decreased (pressures > recovery actions),Quantitative unpublished data and expert opinion,"Central Wheatbelt Dist: count; trend, approx pop size 3000 in 2002 decline in numbers observed in same pops over 10 year period. TPFL 3048. ","3,444","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased (new knowledge - biological survey),S&C: area calc; Central Wheatbelt Dist: trend. ,<100,< 100ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Decreased (pressures > recovery actions),"Central Wheatbelt Dist: some new pops found, very significant decrease in pops 8-11",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt Dist,2012,,,Central Wheatbelt Dist: past pressures and future threats,Endangered,Endangered,,"B2ab(iii,v)",Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,2003,,,Currently threatened taxa but metric and/or trends indicate a higher conservation status  ,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy ,field identification refinement (esp. pop 9),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),Wheatbelt DRF priority process,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),"seed collection and storage, seed orchard, ex situ collection at KPBG",MI xiii) Education and awareness (specify),"community group, KPBG, universities",Cross ref: Plant assemblages of the Wongan Hills System PEC,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,MA iv) Mitigating threatening processes – species,trial burning of habitat,EV vi) Input of existing data into DPaW’s corporate databases (specify source of data),review of population numbering in TPFL,,,MD vi) Habitat restoration (specify),maintain fencing,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private land holders, community group, Water Corps",,,Central Wheatbelt Dist: management actions,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,QTP iii) Quantifying threatening processes – species,detemine response to fire,,,,,MD iv) Herbivore/omnivore control or eradication ,rabbit baiting,MI i) Habitat protection through formal conservation reservation (specify),Progress reservation of Water Reserve 16418,,,SEWPAC 2011 & IRP 2003,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,senescence of habitat,Demographic stochasticity,senescence of habitat,,,,,IN v) Threatened & priority flora locations (individual species),potential habitat,,,,,MD ix) Translocation,investigate potential for translocation,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,"lack of fire, habitat",Fire frequency,"lack of fire, habitat",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,significant decline in pops,,,CP ix) Other management plan (specify),complete Wongan Hills Ecoscape conservation plan & investment plan,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP ix) Other management plan (specify),update DRF and poorly known flora of Wongan-Ballidu,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,1,Quantitative unpublished data and expert opinion,Static,Expert opinion,Central Wheatbelt Dist,11,0,Less than or equal to 20 (does not meet IUCN location/subpopulation criteria),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Central Wheatbelt Dist: TPFL pops ok, trend",500,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Decreased (pressures > recovery actions),Quantitative unpublished data and expert opinion,"Central Wheatbelt Dist: count; trend, approx pop size 3000 in 2002 decline in numbers observed in same pops over 10 year period. TPFL 3048. ","3,444","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased (new knowledge - biological survey),S&C: area calc; Central Wheatbelt Dist: trend. ,<100,< 100ha (potentially meets area of occupancy criteria for CR),Estimate based on expert opinion ,Decreased (pressures > recovery actions),"Central Wheatbelt Dist: some new pops found, very significant decrease in pops 8-11",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,Central Wheatbelt Dist,2012,,,Central Wheatbelt Dist: past pressures and future threats,Endangered,Endangered,,"B2ab(iii,v)",Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,2003,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy ,field identification refinement (esp. pop 9),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),Wheatbelt DRF priority process,MD i) Fire management for biodiversity (specify),,MI v) Ex-situ conservation (specify),"seed collection and storage, seed orchard, ex situ collection at KPBG",MI xiii) Education and awareness (specify),"community group, KPBG, universities",Cross ref: Plant assemblages of the Wongan Hills System PEC,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,,,,,MA iv) Mitigating threatening processes – species,trial burning of habitat,EV vi) Input of existing data into DPaW’s corporate databases (specify source of data),review of population numbering in TPFL,,,MD vi) Habitat restoration (specify),maintain fencing,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private land holders, community group, Water Corps",,,Central Wheatbelt Dist: management actions,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,QTP iii) Quantifying threatening processes – species,detemine response to fire,,,,,MD iv) Herbivore/omnivore control or eradication ,rabbit baiting,MI i) Habitat protection through formal conservation reservation (specify),Progress reservation of Water Reserve 16418,,,SEWPAC 2011 & IRP 2003,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,senescence of habitat,Demographic stochasticity,senescence of habitat,,,,,IN v) Threatened & priority flora locations (individual species),potential habitat,,,,,MD ix) Translocation,investigate potential for translocation,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,"lack of fire, habitat",Fire frequency,"lack of fire, habitat",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,significant decline in pops,,,CP ix) Other management plan (specify),complete Wongan Hills Ecoscape conservation plan & investment plan,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CP ix) Other management plan (specify),update DRF and poorly known flora of Wongan-Ballidu,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
AVW02,Wheatbelt,Sch1: Extant taxa (Rare flora),Stylidium coroniforme subsp. coroniforme,Wongan Triggerplant,AVW02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Verticordia staminosa subsp. staminosa,Wongan Featherflower,AVW02,1,Quantitative analysis of data published or publically available following peer review,Static,Quantitative analysis of data published or publically available following peer review,Yates et al 2007: exceptionally high levels of genetic divergence between subsp. staminosa and subsp. cylindracea,1,0,1 (potentially meets location/subpopulation criteria CR),Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,"Central Wheatbelt Dist: accept TPFL count, trend static. ","1,732","< 2,500 (potentially meets mature individual criteria EN)",Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"Central Wheatbelt Dist: count, increase due survey methodology (previous was estimate)",N/A,,,,,35.8,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),"Central Wheatbelt Dist: area calc, increase do to survey methodology. S&C estimate: 300ha. ",,Highly restricted,Quantitative unpublished data and expert opinion,Static,Central Wheatbelt Dist: known from a single granite outcrop,2012,,,Central Wheatbelt Dist: past pressures and future threats,Endangered,Critically Endangered,,B1+2c,Invasive/introduced herbivores (specify),grazing by rabbits,Invasive/introduced herbivores (specify),grazing by rabbits,2001,,,,IN v) Threatened & priority flora locations (individual species),survey of potential habitat (eg. other granites in surrounding area),EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),update IRP after Wongan Hills fire ecology project,MD i) Fire management for biodiversity (specify),develop fire management guidline,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private property owner. community group, Water Corp",MI xiii) Education and awareness (specify),"promotional materials, engagement with community group",Central Wheatbelt Dist: management actions,,,,
