SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION_CAT,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Western Australia,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,1,Quantitative analysis of data published or publically available following peer review,Static,Quantitative analysis of data published or publically available following peer review,MC,3,1,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data published or publically available following peer review,Increased (recovery actions > pressures),Quantitative analysis of data published or publically available following peer review,Midwest and MC: Lancelin Island mainland & Favourite Is. Increase is due introduction to Favourite island,5000+,"< 10,000 (potentially meets mature individual criteria VU)",Quantitative analysis of data published or publically available following peer review,Increased (recovery actions > pressures),Quantitative analysis of data published or publically available but not peer reviewed,IRP: pop figure for Lancelin Island + smaller number (unquantified) for Favourite Island,"9,660","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased (recovery actions > pressures),JM  - this fig is calc from S&C records.expanded due to translocation. ,16,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (recovery actions > pressures),"MC: area of Lancellin + Favourite Islands (11.335ha + <5ha on mainland), expanding due to translocation. ",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,coastal & island limestone,2010,,,MC disagrees with methodolgy of EOO because it include large areas of unsuitable habitat. He calculated  area (16ha) based on Lancelin and Favorite Islands + small area of mainland (single occurrence near Lancelin)  but according to Audit II methodology this is AOO. ,Vulnerable,Vulnerable,,D2,Recreational disturbance (specify),access to islands,Recreational disturbance (specify),access to islands,2000,,,,IN iv) Threatened & priority fauna locations (individual species),determine if there is an extant mainland population and locations,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),update recovery plan,MD xii) Manage access,access to islands,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),management of mainland population if appropriate,MI xiii) Education and awareness (specify),for visitors accessing islands,Notes from workshop: Check with Dave Peason re: survey work on mainland,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JM: requires fauna report form from Favourite Island, email sent to Anthony Desmond and David Pearson",,,,,Weeds (specify dominant spp),,Invasive/introduced omnivores (specify),rats,,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,MD ix) Translocation,use of islands for translocations,"MI vii) Biosecurity measures – border (inspections, regulatory control) (specify)",island biosecutity to prevent introductions (esp. rats & cats),,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest workshop & MC: Past pressures/future threats and management actions ,,,,,,,Invasive/introduced predators (specify),cats,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),disease,,,,,,,,,,,,,,,,,,,,,
SWA02,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,1,Quantitative analysis of data published or publically available following peer review,Static,Quantitative analysis of data published or publically available following peer review,MC,3,1,Refer to State level,Quantitative analysis of data published or publically available following peer review,Increased (recovery actions > pressures),Quantitative analysis of data published or publically available following peer review,Midwest and MC: Lancelin Island mainland & Favourite Is. Increase is due introduction to Favourite island,5000+,"< 10,000 (potentially meets mature individual criteria VU)",Quantitative analysis of data published or publically available following peer review,Increased (recovery actions > pressures),Quantitative analysis of data published or publically available but not peer reviewed,IRP: pop figure for Lancelin Island + smaller number (unquantified) for Favourite Island,"9,660","< 10,000ha  (potentially meets extent of occurrence criteria CR)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Increased (recovery actions > pressures),JM  - this fig is calc from S&C records.expanded due to translocation. ,16,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (recovery actions > pressures),"MC: area of Lancellin + Favourite Islands (11.335ha + <5ha on mainland), expanding due to translocation. ",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,coastal & island limestone,2010,,,MC disagrees with methodolgy of EOO because it include large areas of unsuitable habitat. He calculated  area (16ha) based on Lancelin and Favorite Islands + small area of mainland (single occurrence near Lancelin)  but according to Audit II methodology this is AOO. ,Vulnerable,Vulnerable,,D2,Recreational disturbance (specify),access to islands,Recreational disturbance (specify),access to islands,2000,,,,IN iv) Threatened & priority fauna locations (individual species),determine if there is an extant mainland population and locations,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),update recovery plan,MD xii) Manage access,access to islands,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),management of mainland population if appropriate,MI xiii) Education and awareness (specify),for visitors accessing islands,Notes from workshop: Check with Dave Peason re: survey work on mainland,,,,
SWA02,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JM: requires fauna report form from Favourite Island, email sent to Anthony Desmond and David Pearson",,,,,Weeds (specify dominant spp),,Invasive/introduced omnivores (specify),rats,,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,MD ix) Translocation,use of islands for translocations,"MI vii) Biosecurity measures – border (inspections, regulatory control) (specify)",island biosecutity to prevent introductions (esp. rats & cats),,,,,,,
SWA02,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest workshop & MC: Past pressures/future threats and management actions ,,,,,,,Invasive/introduced predators (specify),cats,,,,,,,,,,,,,,,,,,,,,
SWA02,Midwest,Sch1:Reptiles,Ctenotus lancelinii,Lancelin Island Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),disease,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,1,Expert opinion,Static,Expert opinion,MC,1,0,1 (potentially meets location/subpopulation criteria CR),Quantitative analysis of data published or publically available following peer review,Static (no change),Expert opinion,MC: contiguous habitat type,Unknown,Unknown,-,Unknown,-,MC,N/A,N/A,,,,"2,161","< 10,000ha (potentially meets area of occupancy criteria for EN)",Other (state details):,Unknown,MC calculated on convex hull from WAM records. SPRAT 15000ha. ,,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,MC: red sand with Euc & spinifex,2012,,,Midwest workshop & MC: Past pressures/future threats and management actions ,Vulnerable,Vulnerable,,D2,Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,none,,,,IN iv) Threatened & priority fauna locations (individual species),survey of similar habitat if appropiate,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),requires recovery plan,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with land managers and proponents,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats,Invasive/introduced herbivores (specify),grazing by goats,,,,,PD i) Current population size,determine current population size ,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,,,MI i) Habitat protection through formal conservation reservation (specify),reservation of habitat if appropriate,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,,Fire scale,,,,,,QTP iii) Quantifying threatening processes – species,goat grazing interactions,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,Exploration,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR02,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,1,Expert opinion,Static,Expert opinion,MC,1,0,1 (potentially meets location/subpopulation criteria CR),Quantitative analysis of data published or publically available following peer review,Static (no change),Expert opinion,MC: contiguous habitat type,Unknown,Unknown,-,Unknown,-,MC,N/A,N/A,,,,"2,161","< 10,000ha (potentially meets area of occupancy criteria for EN)",Other (state details):,Unknown,MC calculated on convex hull from WAM records. SPRAT 15000ha. ,,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,MC: red sand with Euc & spinifex,2012,,,Midwest workshop & MC: Past pressures/future threats and management actions ,Vulnerable,Vulnerable,,D2,Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,none,,,,IN iv) Threatened & priority fauna locations (individual species),survey of similar habitat if appropiate,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),requires recovery plan,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with land managers and proponents,,,,,,,
CAR02,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats,Invasive/introduced herbivores (specify),grazing by goats,,,,,PD i) Current population size,determine current population size ,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,,,MI i) Habitat protection through formal conservation reservation (specify),reservation of habitat if appropriate,,,,,,,
CAR02,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,,Fire scale,,,,,,QTP iii) Quantifying threatening processes – species,goat grazing interactions,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
CAR02,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exploration,,Exploration,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
CAR02,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
CAR02,Midwest,Sch1:Reptiles,Ctenotus zastictus,"Hamelin Ctenotus, skink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,Semi-arid areas,1,Expert opinion,Static,Expert opinion,Midwest workshop. Separated from similar taxon by Shea & Miller 1995.,1,0,1 (potentially meets location/subpopulation criteria CR),Expert opinion,Static (no change),Expert opinion,"MC: contiguous habitat type, thought to be one population",Unknown,Unknown,-,Unknown,-,MC,"9,340,640","< 10,000,000ha (does not meet IUCN extent of occurrence criteria)",Alpha hull (alpha = 5) using point occurrence records in DPaW corporate database,Static (no change),S&C calc. MC: distribution is confounded by misidentifications,Unknown,Unknown,-,Unknown,Midwest workshop,,Moderate,Quantitative unpublished data and expert opinion,Static,MC: broad habitats: spinifex and leaf litter,2011,2012,,Midwest workshop: Past pressures/future threats and management actions ,,Vulnerable,2006,D2,Mining ,,Mining ,,none,,,"Currently threatened taxa, likely status unknown",IN iv) Threatened & priority fauna locations (individual species),survey of potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,,,MI xi) Regulation - environmental impact assessment,,,,Midwest workshop: management actions. MC: misidentification of this taxon has implications for accuracy of data,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MC: misidentification of this taxon has implications for accuracy of data; grazing and fire are most significant threats,,,,,Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",Cropping/Horticulture (specify),"historic clearing, fragmentation of habitat",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes from workshop: refer to EIA info,,,,,Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,,,,,Au ii) Ecological niche and life history (habitat suitability),determine ecological niche and life history,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing by stock,Livestock farming (specify),grazing by stock,,,,,QTP iii) Quantifying threatening processes – species,determine threats for appropriate management,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),grazing by goats,Invasive/introduced herbivores (specify),grazing by goats,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, pastoral leaseholders and other relevant stakeholders",,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,,Fire scale,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,,Fire frequency,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oil & gas - drilling & production,,Oil & gas - drilling & production,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced predators (specify),cats & foxes,Invasive/introduced predators (specify),cats & foxes,,,,,,,,,,,,,,,,,,,,,
AVW01,Midwest,Sch1:Reptiles,Cyclodomorphus branchialis,Gilled Slender Blue-tongue Skink,Semi-arid areas,Refer to State level,,,,,1,0,Refer to State level,Expert opinion,Static (no change),Expert opinion,"MC: contiguous habitat type, thought to be one population",Unknown,Unknown,-,Unknown,-,MC,Refer to State level,Refer to State level,,,S&C 2142123,Unknown,Unknown,-,Unknown,Midwest workshop,,Moderate,Quantitative unpublished data and expert opinion,Static,MC: broad habitats: spinifex and leaf litter,2004,,,Midwest workshop: Past pressures/future threats and management actions ,,Vulnerable,2006,D2,Mining ,,Mining ,,none,,,,IN iv) Threatened & priority fauna locations (individual species),survey of potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
